"data","name","latitude","longitude"
"50","WHO report",NA,NA
"2020-03-10","Date",NA,NA
"80924","China",35,105
"7513","South Korea",36.504,128.103
"514","Japan",36,138
"160","Singapore",1.36666666667,103.8
"92","Australia",-27,133
"117","Malaysia",2.5,112.5
"31","Vietnam",21.491,105.314
"33","Philippines",13,122
"2","Cambodia",13,105
"5","New Zealand",-41,174
"1","BruneiDarussalam",NA,NA
"1","Mongolia",46,105
"53","Thailand",15.7,100.844
"44","India",22.881,79.619
"1","Nepal",28.253,83.939
"1","Sri Lanka",7,81
"19","Indonesia",-0.976,114.252
"1","Bhutan",27.415,90.429
"4","Maldives",3.25,73
"3","Bangladesh",24,90
"472","United States",38,-97
"77","Canada",60,-95
"25","Brazil",-10.772,-53.089
"7","Mexico",23,-102
"15","Ecuador",-1.385,-78.497
"5","Dominican Republic",19,-70.6666666667
"2","Saint Martin (French part)",18.094,-63.041
"1","Saint Barthelemy",17.9017,-62.8288
"12","Argentina",-35.377,-65.167
"13","Chile",-30,-71
"3","Colombia",3.9,-73.076
"9","Peru",-9.326,-75.552
"9","CostaRica",NA,NA
"5","FrenchGuiana",NA,NA
"2","Martinique",14.6,-61.0833333333
"1","Paraguay",-23,-58
"1","Panama",8.384,-80.92
"9172","Italy",44.931,10.44
"1139","Germany",51,9
"1402","France",46,2
"323","United Kingdom",54,-2
"1024","Spain",40.227,-3.649
"12","Croatia",45.1666666667,15.5
"131","Austria",47.3333333333,13.3333333333
"40","Finland",64.504,26.272
"39","Israel",31.5,34.75
"7","Russia",60,100
"248","Sweden",62,15
"239","Belgium",50.643,4.664
"90","Denmark",56,10
"10","Estonia",58.674,25.793
"15","Georgia",42.176,43.518
"73","Greece",39,22
"7","Macedonia",41.6,21.698
"192","Norway",61.152,8.74
"15","Romania",46,25
"332","Switzerland",46.861,7.908
"6","Belarus",53.54,28.047
"1","Lithuania",56,24
"321","Netherlands",52.077,5.389
"49","San Marino",43.933333,12.4166666667
"9","Azerbaijan",40.43,47.395
"24","Ireland",53,-8
"1","Monaco",43.75,7.412
"38","Czechia",49.743,15.338
"55","Iceland",65,-18
